Customer Name,Marketer,Region,Status
Martin Dow Marker Ltd.,Abdul Moeez,Karachi,Undeveloped
MBL Pharma,Abdul Moeez,Karachi,Developed
Maxitech Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Mediate Pharmaceutical (Pvt) Ltd.,,Karachi,Undeveloped
Medicaids (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Medisure Laboratories Pakistan (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Nabiqasim Industries (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Nawan Laboratories (Pvt) Ltd.,Aaira Khan,Karachi,Developed
Newton Health Care (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Novartis Pharma (Pak) Ltd.,Hamza Ali Khan,Karachi,Undeveloped
Novins International (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
OBS Pakistan (Pvt) Ltd.,Imran Khan,Karachi,Undeveloped
Oncogen Pharma,Hamza Ali Khan,Karachi,Undeveloped
